ID Aerosol Stationary Activity Minute
10 23.58 5.54 WatchingTV 14
10 28.4 2.88 WatchingTV 15
10 15.99 2.99 WatchingTV 16
10 25.79 1.87 Homework 17
10 39.64 5.92 Homework 18
10 41.02 2.43 Homework 19
10 45.25 2.5 Homework 20
10 73.18 3.85 Homework 21
10 59.55 2.3 Homework 22
10 58.39 3.02 Homework 23
10 14.86 1.56 PlayingOnFloor 24
10 6.91 1.34 PlayingOnFloor 25
10 6.61 2.16 PlayingOnFloor 26
10 8.44 2.17 PlayingOnFloor 27
10 11.16 1.49 PlayingOnFloor 28
10 14.41 3.35 PlayingOnFloor 29
10 14.01 1.2 PlayingOnFloor 30
10 13.53 2.13 Computer 31
10 19 4.05 Computer 32
10 13.52 1.41 Computer 33
10 11.63 1.3 Computer 34
10 11.72 1.91 Computer 35
10 9.99 1.4 Computer 36
10 9.91 3.06 Computer 37
10 23.11 2.7 PlayingOnFurniture 38
10 19.86 2.65 PlayingOnFurniture 39
10 25.95 1.36 PlayingOnFurniture 40
10 33.89 4.66 PlayingOnFurniture 41
10 23.39 4.76 PlayingOnFurniture 42
10 31.66 2.08 PlayingOnFurniture 43
10 30.38 3.21 PlayingOnFurniture 44
10 16.75 3.61 OnPhone 45
10 23.33 2.61 OnPhone 46
10 18.73 3.04 OnPhone 47
10 27.22 3.05 OnPhone 48
10 27.72 2.99 OnPhone 49
10 23.76 1.34 OnPhone 50
10 17.57 1.11 OnPhone 51
10 30.75 1.66 OnPhone 52
10 30.02 1.22 Walking 53
10 29.07 0.85 Walking 54
10 18.66 2.93 Walking 55
10 13.44 11.02 Walking 56
10 12.56 2.71 Walking 57
10 11.12 1.8 Walking 58
10 17.87 2.17 Walking 59
11 1.3 4.4 VideoGames 1
11 1.78 1.19 VideoGames 2
11 2.44 2.45 VideoGames 3
11 2.82 3.18 VideoGames 4
11 1.9 1.26 VideoGames 5
11 4.19 2.11 VideoGames 6
11 2.7 2.3 VideoGames 7
11 2.26 3.83 VideoGames 8
11 1.76 1.31 Walking 9
11 1.4 4 Walking 10
11 1.63 1.75 Walking 11
11 1.87 3.09 Walking 12
11 1.89 2.58 Walking 13
11 1.47 4.83 Walking 14
11 2.24 2.88 Walking 15
11 2.05 2.56 OnPhone 16
11 1.99 5.95 OnPhone 17
11 1.53 5.52 OnPhone 18
11 1.09 2.33 OnPhone 19
11 1.76 3.5 OnPhone 20
11 1.38 7.66 OnPhone 21
11 0.85 3.74 PlayingOnFurniture 22
11 0.78 3.7 PlayingOnFurniture 23
11 1.06 1.95 PlayingOnFurniture 24
11 1.78 3.2 PlayingOnFurniture 25
11 3.78 3.62 PlayingOnFurniture 26
11 2.76 3.46 PlayingOnFurniture 27
11 1.76 3.18 PlayingOnFurniture 28
11 3.85 5.89 WatchingTV 29
11 3.57 7.81 WatchingTV 30
11 4.56 2.98 WatchingTV 31
11 3 2.32 WatchingTV 32
11 2.41 2.78 WatchingTV 33
11 1.61 3.22 WatchingTV 34
11 1.42 3.2 WatchingTV 35
11 3.56 6.88 WatchingTV 36
11 1.48 2.03 Homework 37
11 1.33 1.29 Homework 38
11 2.34 3.25 Homework 39
11 1.68 4.26 Homework 40
11 2.59 3.42 Homework 41
11 2.16 2.38 Homework 42
11 2.39 2.67 Homework 43
11 2.53 2.02 Homework 44
11 2.65 3.7 Homework 45
11 2.64 2.86 PlayingOnFloor 46
11 1.63 1.72 PlayingOnFloor 47
11 1.82 1.39 PlayingOnFloor 48
11 1.93 1.31 PlayingOnFloor 49
11 3.87 2.54 PlayingOnFloor 50
11 4.37 4.28 PlayingOnFloor 51
11 5.03 3.58 PlayingOnFloor 52
11 6.54 5.05 PlayingOnFloor 53
11 3.08 1.58 Computer 54
11 3.23 1.44 Computer 55
11 2.2 1.14 Computer 56
11 1.93 1.41 Computer 57
11 2.49 1.89 Computer 58
11 3.05 5.86 Computer 59
12 2.62 4.12 OnPhone 1
12 2.47 3.67 OnPhone 2
12 1.83 4.62 OnPhone 3
12 2.52 1.68 OnPhone 4
12 3.22 3.52 OnPhone 5
12 3.1 6.61 OnPhone 6
12 1.85 2.31 OnPhone 7
12 2.07 2.95 OnPhone 8
12 1.69 2.81 Walking 9
12 2.49 3.74 Walking 10
12 2.42 2.97 Walking 11
12 3.72 1.65 Walking 12
12 6.09 1.79 Walking 13
12 4.71 4.85 Walking 14
12 2.92 1.77 Walking 15
12 5.4 2.06 WatchingTV 16
12 4.43 4.42 WatchingTV 17
12 3.99 1.67 WatchingTV 18
12 2.38 2.27 WatchingTV 19
12 3.87 2.16 WatchingTV 20
12 6.51 1.44 WatchingTV 21
12 7.9 1.4 WatchingTV 22
12 7.91 2.61 Computer 23
12 9.01 3.27 Computer 24
12 16.7 2.28 Computer 25
12 19.64 1.31 Computer 26
12 12.23 1.22 Computer 27
12 11.08 1.58 Computer 28
12 8.44 1.67 Computer 29
12 58.2 2.7 Homework 30
12 54.27 3.1 Homework 31
12 35.77 2.29 Homework 32
12 19.02 2.77 Homework 33
12 16.63 5.17 Homework 34
12 7.34 2.33 Homework 35
12 16.88 4.77 Homework 36
12 18.78 7.55 Homework 37
12 28.79 3.65 Homework 38
12 8.4 0.93 VideoGames 39
12 5.4 2.56 VideoGames 40
12 5.23 0.93 VideoGames 41
12 5.47 1.16 VideoGames 42
12 7.12 2.73 VideoGames 43
12 9.01 4.4 VideoGames 44
12 14.42 5.66 VideoGames 45
12 16.1 3.2 PlayingOnFurniture 46
12 17.25 2.49 PlayingOnFurniture 47
12 13.91 5.27 PlayingOnFurniture 48
12 11.05 2.61 PlayingOnFurniture 49
12 7.33 4.87 PlayingOnFurniture 50
12 8.77 3.12 PlayingOnFurniture 51
12 11.03 5.64 PlayingOnFurniture 52
12 8.35 4.24 PlayingOnFurniture 53
12 7.61 3 PlayingOnFloor 54
12 4.99 2.21 PlayingOnFloor 55
12 4.82 6.36 PlayingOnFloor 56
12 4.96 1.29 PlayingOnFloor 57
12 6.13 2.24 PlayingOnFloor 58
12 4.82 1.22 PlayingOnFloor 59
13 0.43 2.13 Walking 1
13 0.53 3.36 Walking 2
13 0.57 4.92 Walking 3
13 0.28 1.37 Walking 4
13 0.23 1.65 Walking 5
13 0.28 1.93 Walking 6
13 0.36 1.82 Walking 7
13 0.61 2.68 Walking 8
13 1.78 4.39 Computer 9
13 1.18 3.23 Computer 10
13 1.53 4.34 Computer 11
13 1.73 2.98 Computer 12
13 0.89 1.05 Computer 13
13 1.21 1.49 Computer 14
13 1.38 1.63 Computer 15
13 0.93 1.67 Homework 16
13 0.8 2.58 Homework 17
13 0.48 4.19 Homework 18
13 0.64 2.39 Homework 19
13 0.43 1.76 Homework 20
13 0.79 2.05 Homework 21
13 0.7 3.23 Homework 22
13 0.75 1.32 Homework 23
13 0.53 2.55 OnPhone 24
13 0.61 1.48 OnPhone 25
13 0.69 1.77 OnPhone 26
13 0.57 1.43 OnPhone 27
13 0.38 1.7 OnPhone 28
13 0.53 2.92 OnPhone 29
13 0.8 2.31 PlayingOnFloor 30
13 0.57 1.4 PlayingOnFloor 31
13 0.51 2.33 PlayingOnFloor 32
13 0.68 2.13 PlayingOnFloor 33
13 1.41 1.27 PlayingOnFloor 34
13 1.47 1.73 PlayingOnFloor 35
13 1.22 3.91 PlayingOnFloor 36
13 0.43 0.92 PlayingOnFurniture 37
13 0.68 5.25 PlayingOnFurniture 38
13 0.63 3.42 PlayingOnFurniture 39
13 0.69 5.2 PlayingOnFurniture 40
13 0.69 3.6 PlayingOnFurniture 41
13 0.49 2.61 PlayingOnFurniture 42
13 0.35 3.47 PlayingOnFurniture 43
13 0.31 1.99 PlayingOnFurniture 44
